"x","y","z","top","DateTime","segment"
2.11837250440913,3.14987013519368,1.81046848218469,4243.09045127567,2017-12-07 01:10:51,11
2.10259686173793,3.16989662848161,1.77028221016361,4244.09036562505,2017-12-07 01:10:52,11
2.10072983023011,3.1733128053254,1.73009593814252,4245.09027997443,2017-12-07 01:10:53,11
2.08781162955541,3.20606315742081,1.68990966612144,4246.09019432381,2017-12-07 01:10:54,11
2.08423159531769,3.22476607651617,1.64972339410036,4247.09010867319,2017-12-07 01:10:55,11
2.08830854220461,3.23494554479134,1.60953712207927,4248.09002302257,2017-12-07 01:10:56,11
2.10190403246113,3.23481510461245,1.56935085005819,4249.08993737195,2017-12-07 01:10:57,11
2.06885203383796,3.25019258896642,1.5291645780371,4250.08985172133,2017-12-07 01:10:58,11
2.04496703925187,3.24687242770879,1.48897830601601,4251.08976607071,2017-12-07 01:10:59,11
-2.03013248271988,1.58969336656696,2.08962838095818,4252.08579547292,2017-12-07 01:11:00,12
-1.82163801294697,1.56529278185242,2.17406240840602,4253.08584218792,2017-12-07 01:11:01,12
-1.71924137918601,1.53998105374677,2.25843498783844,4254.08589343938,2017-12-07 01:11:02,12
-1.55874244898833,1.51511845680624,2.34284383950314,4255.08594677481,2017-12-07 01:11:03,12
-1.34686019165868,1.49070685598884,2.42728639300427,4256.08600368581,2017-12-07 01:11:04,12
-1.22920084799711,1.46717647616709,2.51172553081928,4257.0860692809,2017-12-07 01:11:05,12
-1.0535628113332,1.44414015092596,2.59619818277827,4258.08614517921,2017-12-07 01:11:06,12
-0.859351729762462,1.42149246875252,2.68068732950303,4259.08623705946,2017-12-07 01:11:07,12
-0.840134612053102,1.39682921197855,2.76507268294393,4260.0863522811,2017-12-07 01:11:08,12
-0.858824243147034,1.37175089860207,2.84942069565134,4261.08648495396,2017-12-07 01:11:09,12
-0.845005434903387,1.34669517001662,2.93377733969418,4262.08662554868,2017-12-07 01:11:10,12
-0.797793218431051,1.32166992586834,3.01814219193422,4263.08676632999,2017-12-07 01:11:11,12
-0.724669876976075,1.29669348176587,3.10251299991446,4264.08690141566,2017-12-07 01:11:12,12
-0.627873306338173,1.27170482354763,3.18688584621815,4265.08702634124,2017-12-07 01:11:13,12
-0.5096043863381,1.24666090305922,3.27125906848287,4266.08713791244,2017-12-07 01:11:14,12
-0.368197413540597,1.22147491349731,3.35563357580186,4267.08723390261,2017-12-07 01:11:15,12
-0.222196681749881,1.1961100558498,3.44000254563785,4268.08731294604,2017-12-07 01:11:16,12
-0.0450733209633194,1.1709395926148,3.52436677079315,4269.08737359006,2017-12-07 01:11:17,12
0.14709486543379,1.14578672871924,3.60873815397491,4270.08741632272,2017-12-07 01:11:18,12
0.343703055937739,1.12029547530714,3.69310383136662,4271.08744250245,2017-12-07 01:11:19,12
